job_title;degree;key_skills;;;;;;;;;;;;job_experience
 HR PMO Professional;Comm&Mgmt; Change management; Excel; Customer satisfaction; Project management; Relationship building; HR policies; HR; Scheduling; Visio; Stakeholder management;;;4
 Principal Consultant;Others; Business solutions; Project delivery; Conceptualization; Green field projects; Gap analysis; PDF; Regulatory compliance; account mining; Delivery Lead; Oracle Retail;;;8
 Urgent Requirment For Central Processing Center- Mumbai;Comm&Mgmt; Accounting Entries; Debit; Communication Skills; Finance; Document Verification; Banking; Problem Solving; Open Office; Dispute Management;;;;10
 Cognos TM1 Developer (4 6 years);Comm&Mgmt; Sql Server 2008; Cognos; MVC; SIDE; server; java; asp.net; Javascript; Problem; developer; ASP.Net MVC;;1
 Smart Web Developer;Others; JAVA; Java; Business Analysts; development; Architects; HTML; Lead Developers; SQL; XML; design; PHP;;5
 Civil Architect;Others; Architect; Engineering Design; EPC; Civil;;;;;;;;;3
 Reconciliation Executive;Comm&Mgmt; access controls; Technology; Asset Management; Intellectual Property; Vendor Management; CRM;;;;;;;10
 Oracle Sales Cloud Developer;Others; oracle sales;;;;;;;;;;;;2
 Opening For Sales and Marketing_nariman Point ;Sci&Tech; Sales; Marketing;;;;;;;;;;;9
 Finance & OPS - Technical Consultant (dynamics Ax/365) @ Bangalore;Sci&Tech; microsoft dynamics ax; strategy implementation; proposal development; business development; resource planning; cost management; enterprise applications; data integrity; microsoft applications; process design; technical consultant;;10
 Business Development Manager-digital / Export;Comm&Mgmt; digital marketing; international sales; international marketing; international business development; business development; Export Marketing;;;;;;;5
 Sr. Software Engineer;Sci&Tech; Unix; PDF; Deployment; Informatica; Oracle; Teradata; Troubleshooting; Data warehousing;;;;;3
 Website Designer;Sci&Tech; jQuery; Analytical; Wordpress; Conceptualization; Web designing; Photoshop; Business Executive; CSS3; Ideas;;;;3
 Tech caller hiring a huge number of Executives.;Others; Outbound; Night shift; Recruitment; iPhone; Email; US shift; Troubleshooting; Technical support; Comp; International BPO;;;4
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
